variante,ciclo,endereco,endereco_norm
hash,2572203,137422173824,17177627848
hash,2572204,137422173832,17177627849
hash,2572205,80795072,9955504
hash,2572206,80795208,9955521
hash,2572207,80822336,9958912
hash,2572208,80799508,9956058
hash,2572209,137422173864,17177627853
hash,2572210,137422173872,17177627854
hash,2572211,137422173880,17177627855
hash,2572212,137422173888,17177627856
hash,2572213,137422173896,17177627857
hash,2572214,137422173904,17177627858
hash,2572215,137422173912,17177627859
hash,2572216,1175616,3072
hash,2572217,78451448,9662551
hash,2572218,137422173976,17177627867
hash,2572219,1175616,3072
hash,2572220,78451448,9662551
hash,2572221,1175649,3076
hash,2572222,137422173992,17177627869
hash,2572223,81812584,10082693
hash,2572224,137422174008,17177627871
hash,2572225,137422174016,17177627872
hash,2572226,137422174024,17177627873
hash,2572227,137422174032,17177627874
hash,2572228,137422174040,17177627875
hash,2572229,137422174048,17177627876
hash,2572230,137422174056,17177627877
hash,2572231,137422174064,17177627878
hash,2572232,137422174072,17177627879
hash,2572233,137422174080,17177627880
hash,2572234,137422174088,17177627881
hash,2572235,137422174104,17177627883
hash,2572236,1175312,3034
hash,2572237,67457328,8288286
hash,2572238,67457320,8288285
hash,2572239,78468008,9664621
hash,2572240,81812584,10082693
hash,2572241,78471112,9665009
hash,2572242,1175616,3072
hash,2572243,78451448,9662551
hash,2572244,1175840,3100
hash,2572245,1175656,3077
hash,2572246,137422173920,17177627860
hash,2572247,137422173928,17177627861
hash,2572248,137422173936,17177627862
hash,2572249,137422173944,17177627863
hash,2572250,137422174000,17177627870
hash,2572251,1175616,3072
hash,2572252,78451448,9662551
hash,2572253,1175640,3075
hash,2572254,1175856,3102
hash,2572255,137422173992,17177627869
hash,2572256,78474848,9665476
hash,2572257,78445160,9661765
hash,2572258,78474912,9665484
hash,2572259,78470296,9664907
hash,2572260,80795072,9955504
hash,2572261,81812560,10082690
hash,2572262,80795208,9955521
hash,2572263,80822336,9958912
hash,2572264,80799512,9956059
hash,2572265,137422173880,17177627855
hash,2572266,80795264,9955528
hash,2572267,80795288,9955531
hash,2572268,137422173880,17177627855
hash,2572269,80785512,9954309
hash,2572270,80795112,9955509
hash,2572271,80795072,9955504
hash,2572272,80795120,9955510
hash,2572273,80788400,9954670
hash,2572274,67457338,8288287
hash,2572275,67457336,8288287
hash,2572276,137422173784,17177627843
hash,2572277,137422173800,17177627845
hash,2572278,137422173816,17177627847
hash,2572279,137422173824,17177627848
hash,2572280,137422173832,17177627849
hash,2572281,137422173840,17177627850
hash,2572282,137422173848,17177627851
hash,2572283,137422173856,17177627852
hash,2572284,137422173864,17177627853
hash,2572285,80795072,9955504
hash,2572286,80795208,9955521
hash,2572287,80822336,9958912
hash,2572288,80799508,9956058
hash,2572289,137422173896,17177627857
hash,2572290,137422173904,17177627858
hash,2572291,137422173912,17177627859
hash,2572292,137422173920,17177627860
hash,2572293,137422173928,17177627861
hash,2572294,137422173936,17177627862
hash,2572295,137422173944,17177627863
hash,2572296,1175616,3072
hash,2572297,78451448,9662551
hash,2572298,137422174008,17177627871
hash,2572299,1175616,3072
hash,2572300,78451448,9662551
hash,2572301,1175649,3076
hash,2572302,137422174024,17177627873
hash,2572303,81812584,10082693
hash,2572304,137422174040,17177627875
hash,2572305,137422174048,17177627876
hash,2572306,137422174056,17177627877
hash,2572307,137422174064,17177627878
hash,2572308,137422174072,17177627879
hash,2572309,137422174080,17177627880
hash,2572310,137422174088,17177627881
hash,2572311,1175328,3036
hash,2572312,78466192,9664394
hash,2572313,1151784,93
hash,2572314,137422174056,17177627877
hash,2572315,78468008,9664621
hash,2572316,81812584,10082693
hash,2572317,78471112,9665009
hash,2572318,1175616,3072
hash,2572319,78451448,9662551
hash,2572320,1175840,3100
hash,2572321,1175656,3077
hash,2572322,137422173888,17177627856
hash,2572323,137422173896,17177627857
hash,2572324,137422173904,17177627858
hash,2572325,137422173912,17177627859
hash,2572326,137422173968,17177627866
hash,2572327,1175616,3072
hash,2572328,78451448,9662551
hash,2572329,1175640,3075
hash,2572330,1175856,3102
hash,2572331,137422173960,17177627865
hash,2572332,78474848,9665476
hash,2572333,78445160,9661765
hash,2572334,78474912,9665484
hash,2572335,78470296,9664907
hash,2572336,80795072,9955504
hash,2572337,81812560,10082690
hash,2572338,80795208,9955521
hash,2572339,80822336,9958912
hash,2572340,80799512,9956059
hash,2572341,137422173848,17177627851
hash,2572342,80795264,9955528
hash,2572343,80795288,9955531
hash,2572344,137422173848,17177627851
hash,2572345,80785512,9954309
hash,2572346,80795112,9955509
hash,2572347,80795072,9955504
hash,2572348,80795120,9955510
hash,2572349,80788400,9954670
hash,2572350,1151784,93
hash,2572351,137422173752,17177627839
hash,2572352,137422173768,17177627841
hash,2572353,137422173784,17177627843
hash,2572354,137422173792,17177627844
hash,2572355,137422173800,17177627845
hash,2572356,137422173808,17177627846
hash,2572357,137422173816,17177627847
hash,2572358,137422173824,17177627848
hash,2572359,137422173832,17177627849
hash,2572360,80795072,9955504
hash,2572361,80795208,9955521
hash,2572362,80822336,9958912
hash,2572363,80799508,9956058
hash,2572364,137422173864,17177627853
hash,2572365,137422173872,17177627854
hash,2572366,137422173880,17177627855
hash,2572367,137422173888,17177627856
hash,2572368,137422173896,17177627857
hash,2572369,137422173904,17177627858
hash,2572370,137422173912,17177627859
hash,2572371,1175616,3072
hash,2572372,78451448,9662551
hash,2572373,137422173976,17177627867
hash,2572374,1175616,3072
hash,2572375,78451448,9662551
hash,2572376,1175649,3076
hash,2572377,137422173992,17177627869
hash,2572378,81812584,10082693
hash,2572379,137422174008,17177627871
hash,2572380,137422174016,17177627872
hash,2572381,137422174024,17177627873
hash,2572382,137422174032,17177627874
hash,2572383,137422174040,17177627875
hash,2572384,137422174048,17177627876
hash,2572385,137422174056,17177627877
hash,2572386,137422174064,17177627878
hash,2572387,137422174072,17177627879
hash,2572388,137422174080,17177627880
hash,2572389,137422174088,17177627881
hash,2572390,137422174104,17177627883
hash,2572391,67457316,8288284
hash,2572392,1175480,3055
hash,2572393,1175616,3072
hash,2572394,78451448,9662551
hash,2572395,1175648,3076
hash,2572396,78465144,9664263
hash,2572397,81812584,10082693
hash,2572398,78471112,9665009
hash,2572399,1175616,3072
hash,2572400,78451448,9662551
hash,2572401,1175840,3100
hash,2572402,1175656,3077
hash,2572403,137422173952,17177627864
hash,2572404,137422173960,17177627865
hash,2572405,137422173968,17177627866
hash,2572406,137422173976,17177627867
hash,2572407,137422174000,17177627870
hash,2572408,1175616,3072
hash,2572409,78451448,9662551
hash,2572410,1175872,3104
hash,2572411,1175849,3101
hash,2572412,1175848,3101
hash,2572413,1175856,3102
hash,2572414,78481840,9666350
hash,2572415,78450064,9662378
hash,2572416,78468136,9664637
hash,2572417,81812584,10082693
hash,2572418,78461464,9663803
hash,2572419,78465560,9664315
hash,2572420,78485512,9666809
hash,2572421,137422173800,17177627845
hash,2572422,1175832,3099
hash,2572423,78483480,9666555
hash,2572424,78482784,9666468
hash,2572425,137422173808,17177627846
hash,2572426,137422173816,17177627847
hash,2572427,137422173824,17177627848
hash,2572428,137422173832,17177627849
hash,2572429,137422173840,17177627850
hash,2572430,137422173848,17177627851
hash,2572431,1175648,3076
hash,2572432,78479759,9666089
hash,2572433,78479760,9666090
hash,2572434,137422173800,17177627845
hash,2572435,137422173880,17177627855
hash,2572436,137422173896,17177627857
hash,2572437,137422173895,17177627856
hash,2572438,78479712,9666084
hash,2572439,1175640,3075
hash,2572440,78474848,9665476
hash,2572441,78445160,9661765
hash,2572442,78474912,9665484
hash,2572443,78470296,9664907
hash,2572444,80795072,9955504
hash,2572445,81812560,10082690
hash,2572446,80795208,9955521
hash,2572447,80822336,9958912
hash,2572448,80799512,9956059
hash,2572449,137422173736,17177627837
hash,2572450,80795264,9955528
hash,2572451,80795288,9955531
hash,2572452,137422173736,17177627837
hash,2572453,80785512,9954309
hash,2572454,80795112,9955509
hash,2572455,80795072,9955504
hash,2572456,80795120,9955510
hash,2572457,80788400,9954670
hash,2572458,137422173846,17177627850
hash,2572459,137422173846,17177627850
hash,2572460,137422173640,17177627825
hash,2572461,137422173656,17177627827
hash,2572462,137422173672,17177627829
hash,2572463,137422173680,17177627830
hash,2572464,137422173688,17177627831
hash,2572465,137422173696,17177627832
hash,2572466,137422173704,17177627833
hash,2572467,137422173712,17177627834
hash,2572468,137422173720,17177627835
hash,2572469,80795072,9955504
hash,2572470,80795208,9955521
hash,2572471,80822336,9958912
hash,2572472,80799508,9956058
hash,2572473,137422173752,17177627839
hash,2572474,137422173760,17177627840
hash,2572475,137422173768,17177627841
hash,2572476,137422173776,17177627842
hash,2572477,137422173784,17177627843
hash,2572478,137422173792,17177627844
hash,2572479,137422173800,17177627845
hash,2572480,137422173912,17177627859
hash,2572481,81812584,10082693
hash,2572482,137422173928,17177627861
hash,2572483,137422173936,17177627862
hash,2572484,137422173944,17177627863
hash,2572485,137422173952,17177627864
hash,2572486,137422173960,17177627865
hash,2572487,137422173968,17177627866
hash,2572488,137422173976,17177627867
hash,2572489,137422174008,17177627871
hash,2572490,1175616,3072
hash,2572491,78451448,9662551
hash,2572492,1175649,3076
hash,2572493,137422174024,17177627873
hash,2572494,81812584,10082693
hash,2572495,137422174040,17177627875
hash,2572496,137422174048,17177627876
hash,2572497,137422174056,17177627877
hash,2572498,137422174064,17177627878
hash,2572499,137422174072,17177627879
hash,2572500,137422174080,17177627880
hash,2572501,137422174088,17177627881
hash,2572502,1175328,3036
hash,2572503,78466192,9664394
hash,2572504,1151784,93
hash,2572505,137422174056,17177627877
hash,2572506,78468008,9664621
hash,2572507,81812584,10082693
hash,2572508,78471112,9665009
hash,2572509,1175616,3072
hash,2572510,78451448,9662551
hash,2572511,1175840,3100
hash,2572512,1175656,3077
hash,2572513,137422173888,17177627856
hash,2572514,137422173896,17177627857
hash,2572515,137422173904,17177627858
hash,2572516,137422173912,17177627859
hash,2572517,137422173968,17177627866
hash,2572518,1175616,3072
hash,2572519,78451448,9662551
hash,2572520,1175640,3075
hash,2572521,1175856,3102
hash,2572522,137422173960,17177627865
hash,2572523,78474848,9665476
hash,2572524,78445160,9661765
hash,2572525,78474912,9665484
hash,2572526,78470296,9664907
hash,2572527,80795072,9955504
hash,2572528,81812560,10082690
hash,2572529,80795208,9955521
hash,2572530,80822336,9958912
hash,2572531,80799512,9956059
hash,2572532,137422173848,17177627851
hash,2572533,80795264,9955528
hash,2572534,80795288,9955531
hash,2572535,137422173848,17177627851
hash,2572536,80785512,9954309
hash,2572537,80795112,9955509
hash,2572538,80795072,9955504
hash,2572539,80795120,9955510
hash,2572540,80788400,9954670
hash,2572541,1151784,93
hash,2572542,137422173752,17177627839
hash,2572543,137422173768,17177627841
hash,2572544,137422173784,17177627843
hash,2572545,137422173792,17177627844
hash,2572546,137422173800,17177627845
hash,2572547,137422173808,17177627846
hash,2572548,137422173816,17177627847
hash,2572549,137422173824,17177627848
hash,2572550,137422173832,17177627849
hash,2572551,80795072,9955504
hash,2572552,80795208,9955521
hash,2572553,80822336,9958912
hash,2572554,80799508,9956058
hash,2572555,137422173864,17177627853
hash,2572556,137422173872,17177627854
hash,2572557,137422173880,17177627855
hash,2572558,137422173888,17177627856
hash,2572559,137422173896,17177627857
hash,2572560,137422173904,17177627858
hash,2572561,137422173912,17177627859
hash,2572562,1175616,3072
hash,2572563,78451448,9662551
hash,2572564,137422173976,17177627867
hash,2572565,1175616,3072
hash,2572566,78451448,9662551
hash,2572567,1175649,3076
hash,2572568,137422173992,17177627869
hash,2572569,81812584,10082693
hash,2572570,137422174008,17177627871
hash,2572571,137422174016,17177627872
hash,2572572,137422174024,17177627873
hash,2572573,137422174032,17177627874
hash,2572574,137422174040,17177627875
hash,2572575,137422174048,17177627876
hash,2572576,137422174056,17177627877
hash,2572577,137422174064,17177627878
hash,2572578,137422174072,17177627879
hash,2572579,137422174080,17177627880
hash,2572580,137422174088,17177627881
hash,2572581,137422174104,17177627883
hash,2572582,1175312,3034
hash,2572583,67457360,8288290
hash,2572584,67457352,8288289
hash,2572585,78468008,9664621
hash,2572586,81812584,10082693
hash,2572587,78471112,9665009
hash,2572588,1175616,3072
hash,2572589,78451448,9662551
hash,2572590,1175840,3100
hash,2572591,1175656,3077
hash,2572592,137422173920,17177627860
hash,2572593,137422173928,17177627861
hash,2572594,137422173936,17177627862
hash,2572595,137422173944,17177627863
hash,2572596,137422174000,17177627870
hash,2572597,1175616,3072
hash,2572598,78451448,9662551
hash,2572599,1175640,3075
hash,2572600,1175856,3102
hash,2572601,137422173992,17177627869
hash,2572602,78474848,9665476
hash,2572603,78445160,9661765
hash,2572604,78474912,9665484
hash,2572605,78470296,9664907
hash,2572606,80795072,9955504
hash,2572607,81812560,10082690
hash,2572608,80795208,9955521
hash,2572609,80822336,9958912
hash,2572610,80799512,9956059
hash,2572611,137422173880,17177627855
hash,2572612,80795264,9955528
hash,2572613,80795288,9955531
hash,2572614,137422173880,17177627855
hash,2572615,80785512,9954309
hash,2572616,80795112,9955509
