experimento,parametro,valor,variante,seed,usuarios,produtos,compras,reposicoes,consultas_lu,consultas_lp,consultas_lc,consultas_lr,filtros,pct_booleano,pct_faixa_preco_qtd,tempo_total_s,total_estimado_bytes,rss_kb,indices_bytes,comparacoes_conjunto,insercoes_indice
E06_booleanos,pct_booleano,25,vetor,42,1000,1000,200,200,100,100,100,100,2,25,0,0.036813,1414501,5076,568229,68559,17800
E06_booleanos,pct_booleano,25,hash,42,1000,1000,200,200,100,100,100,100,2,25,0,0.031045,1649501,5328,803229,68559,17800
E06_booleanos,pct_booleano,50,vetor,42,1000,1000,200,200,100,100,100,100,2,50,0,0.050753,1414501,5084,568229,83475,17800
E06_booleanos,pct_booleano,50,hash,42,1000,1000,200,200,100,100,100,100,2,50,0,0.048162,1649501,5328,803229,83475,17800
E06_booleanos,pct_booleano,75,vetor,42,1000,1000,200,200,100,100,100,100,2,75,0,0.056957,1414501,5028,568229,85506,17800
E06_booleanos,pct_booleano,75,hash,42,1000,1000,200,200,100,100,100,100,2,75,0,0.054651,1649501,5276,803229,85506,17800
E06_booleanos,pct_booleano,100,vetor,42,1000,1000,200,200,100,100,100,100,2,100,0,0.080341,1414501,5072,568229,106952,17800
E06_booleanos,pct_booleano,100,hash,42,1000,1000,200,200,100,100,100,100,2,100,0,0.073870,1649501,5320,803229,106952,17800
E07_faixas_preco_qtd,pct_faixa_preco_qtd,0,vetor,42,1000,1000,200,200,100,100,100,100,2,0,0,0.023250,1414501,5068,568229,48132,17800
E07_faixas_preco_qtd,pct_faixa_preco_qtd,0,hash,42,1000,1000,200,200,100,100,100,100,2,0,0,0.019115,1649501,5292,803229,48132,17800
E07_faixas_preco_qtd,pct_faixa_preco_qtd,25,vetor,42,1000,1000,200,200,100,100,100,100,2,0,25,0.026194,1414501,5028,568229,49149,17800
E07_faixas_preco_qtd,pct_faixa_preco_qtd,25,hash,42,1000,1000,200,200,100,100,100,100,2,0,25,0.023091,1649501,5316,803229,49149,17800
E07_faixas_preco_qtd,pct_faixa_preco_qtd,50,vetor,42,1000,1000,200,200,100,100,100,100,2,0,50,0.025736,1414501,5080,568229,51360,17800
E07_faixas_preco_qtd,pct_faixa_preco_qtd,50,hash,42,1000,1000,200,200,100,100,100,100,2,0,50,0.020205,1649501,5332,803229,51360,17800
E07_faixas_preco_qtd,pct_faixa_preco_qtd,75,vetor,42,1000,1000,200,200,100,100,100,100,2,0,75,0.034324,1414501,5088,568229,51554,17800
E07_faixas_preco_qtd,pct_faixa_preco_qtd,75,hash,42,1000,1000,200,200,100,100,100,100,2,0,75,0.027364,1649501,5328,803229,51554,17800
E07_faixas_preco_qtd,pct_faixa_preco_qtd,100,vetor,42,1000,1000,200,200,100,100,100,100,2,0,100,0.037448,1414501,5088,568229,54485,17800
E07_faixas_preco_qtd,pct_faixa_preco_qtd,100,hash,42,1000,1000,200,200,100,100,100,100,2,0,100,0.028636,1649501,5340,803229,54485,17800
